Date,Close/Last,Volume,Open,High,Low
11/14/2018,$235.22,3245850,$242.16,$242.91,$231.9101
11/13/2018,$238.74,3997175,$238.38,$243,$235.8501
11/12/2018,$236.67,3474744,$244.14,$244.8,$235.36
11/09/2018,$244.84,2763403,$247.56,$248.29,$241.16
11/08/2018,$249.96,2377200,$253.31,$254.13,$247.74
11/07/2018,$253.43,3789181,$244.8,$253.961,$243.81
11/06/2018,$240.56,2413984,$240.48,$244.64,$237.76
11/05/2018,$239.89,3194004,$240,$241,$233.62
11/02/2018,$239.64,4294936,$246.57,$247.47,$237.8
11/01/2018,$245.28,3178528,$245.69,$247.55,$241.49
10/31/2018,$245.76,4422315,$245.41,$249.6,$243.6662
10/30/2018,$238.41,5621923,$238.99,$242.5,$231.7
10/29/2018,$239.75,4650555,$250.67,$254.53,$233.395
10/26/2018,$245.8,4503521,$243.85,$252.18,$241.405
10/25/2018,$252.92,5277080,$242.17,$253.59,$241.66
10/24/2018,$238.44,4850012,$250.61,$254.5991,$238.23
10/23/2018,$251.76,4983077,$246.19,$254.91,$242.56
10/22/2018,$251.06,3397893,$246,$251.635,$242.8029
10/19/2018,$245.03,4064390,$252.73,$252.89,$243.64
10/18/2018,$250.35,5315098,$256.19,$257.21,$246.01
10/17/2018,$258.91,4242832,$261.21,$261.89,$255.26
10/16/2018,$260.67,8490084,$252.5,$261.73,$251.77
10/15/2018,$238.01,5054922,$248.34,$248.37,$238
10/12/2018,$248.87,4772822,$247.74,$249.91,$242.7827
10/11/2018,$238.59,7018210,$236.41,$245.72,$234.72
10/10/2018,$237.91,5288967,$252.52,$253.38,$237.86
10/09/2018,$254.16,2597111,$254.16,$258.72,$251.71
10/08/2018,$254.69,5073357,$261.84,$263.4564,$248.6852
10/05/2018,$263.22,3097969,$263.96,$266.1,$258.31
10/04/2018,$263.71,3779433,$269.5,$271.07,$260.5364
10/03/2018,$270.51,2594769,$273.25,$274.17,$269.76
10/02/2018,$272,3130071,$274.71,$277.03,$271.85
10/01/2018,$275.49,3552962,$271.76,$276.63,$271.46
09/28/2018,$269.95,2753333,$269.75,$272.26,$268.44
09/27/2018,$269.91,1710551,$270,$272.42,$269.25
09/26/2018,$268.47,1929158,$268.56,$270.68,$266.66
09/25/2018,$267.84,2257659,$264.6,$268.43,$264.2009
09/24/2018,$264.09,2600296,$260,$264.46,$257.07
